flowrate,pv,pv_minus_mode
0,0.296484,-0.2844
0,0.334351,-0.246533
0,0.398804,-0.18208
0,0.43103,-0.149854
0,0.441504,-0.13938
0,0.441504,-0.13938
0,0.452783,-0.128101
0,0.456812,-0.124072
0,0.457617,-0.123267
0,0.468091,-0.112793
0,0.470508,-0.110376
0,0.470508,-0.110376
0,0.471313,-0.109571
0,0.474536,-0.106348
0,0.475342,-0.105542
0,0.477759,-0.103125
0,0.483398,-0.097486
0,0.484204,-0.09668
0,0.485815,-0.095069
0,0.486621,-0.094263
0,0.488232,-0.092652
0,0.488232,-0.092652
0,0.489038,-0.091846
0,0.490649,-0.090235
0.03,0.491455,-0.089429
0,0.494678,-0.086206
0,0.494678,-0.086206
0,0.496289,-0.084595
0,0.497095,-0.083789
0,0.497095,-0.083789
0,0.4979,-0.082984
0.04,0.498706,-0.082178
0,0.498706,-0.082178
0,0.498706,-0.082178
0,0.498706,-0.082178
0,0.499512,-0.081372
0,0.499512,-0.081372
0,0.501929,-0.078955
0,0.501929,-0.078955
0,0.50354,-0.077344
0,0.504346,-0.076538
0,0.507568,-0.073316
0,0.507568,-0.073316
0,0.508374,-0.07251
0,0.509985,-0.070899
0,0.510791,-0.070093
0,0.510791,-0.070093
0,0.518848,-0.062036
0,0.520459,-0.060425
0,0.520459,-0.060425
0,0.521265,-0.059619
0,0.521265,-0.059619
0,0.52207,-0.058814
0,0.522876,-0.058008
0,0.523682,-0.057202
0,0.523682,-0.057202
0,0.524487,-0.056397
0,0.525293,-0.055591
0,0.525293,-0.055591
0,0.525293,-0.055591
0,0.525293,-0.055591
0,0.525293,-0.055591
0,0.526099,-0.054785
0,0.526904,-0.05398
0,0.526904,-0.05398
0,0.52771,-0.053174
0,0.52771,-0.053174
0,0.52771,-0.053174
0,0.529321,-0.051563
0,0.530127,-0.050757
0,0.530127,-0.050757
0,0.530127,-0.050757
0,0.530933,-0.049951
0,0.530933,-0.049951
0,0.531738,-0.049146
0,0.532544,-0.04834
0,0.532544,-0.04834
0,0.53335,-0.047534
0,0.53335,-0.047534
0,0.53335,-0.047534
0,0.534961,-0.045923
0,0.534961,-0.045923
0,0.534961,-0.045923
0,0.534961,-0.045923
0,0.534961,-0.045923
0,0.535767,-0.045117
0,0.535767,-0.045117
0,0.535767,-0.045117
0,0.535767,-0.045117
0,0.535767,-0.045117
0,0.536572,-0.044312
0,0.536572,-0.044312
0,0.536572,-0.044312
0,0.536572,-0.044312
0,0.536572,-0.044312
0,0.536572,-0.044312
0,0.536572,-0.044312
9.38,0.536572,-0.044312
0,0.537378,-0.043506
0,0.537378,-0.043506
0,0.537378,-0.043506
0,0.538184,-0.0427
0,0.538184,-0.0427
0,0.538989,-0.041895
0,0.538989,-0.041895
0,0.538989,-0.041895
0,0.539795,-0.041089
0,0.539795,-0.041089
0,0.539795,-0.041089
0.03,0.539795,-0.041089
0,0.539795,-0.041089
0,0.539795,-0.041089
0,0.539795,-0.041089
0,0.539795,-0.041089
0,0.540601,-0.040283
0,0.540601,-0.040283
0,0.540601,-0.040283
0,0.540601,-0.040283
0.1,0.541406,-0.039478
0,0.541406,-0.039478
0,0.541406,-0.039478
0,0.541406,-0.039478
0,0.543018,-0.037866
0,0.543018,-0.037866
0,0.543018,-0.037866
0,0.543018,-0.037866
0,0.543823,-0.037061
0,0.543823,-0.037061
0,0.543823,-0.037061
0,0.543823,-0.037061
0,0.544629,-0.036255
0,0.544629,-0.036255
0,0.544629,-0.036255
0,0.544629,-0.036255
0,0.54624,-0.034644
0,0.54624,-0.034644
0,0.547046,-0.033838
0,0.547046,-0.033838
0,0.547046,-0.033838
0,0.548657,-0.032227
0,0.548657,-0.032227
0,0.549463,-0.031421
0,0.549463,-0.031421
0,0.549463,-0.031421
0,0.549463,-0.031421
0,0.549463,-0.031421
0,0.549463,-0.031421
0,0.551074,-0.02981
0,0.551074,-0.02981
0,0.551074,-0.02981
0,0.551074,-0.02981
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.55188,-0.029004
0,0.553491,-0.027393
0,0.553491,-0.027393
0,0.553491,-0.027393
0,0.553491,-0.027393
0,0.553491,-0.027393
0,0.553491,-0.027393
0,0.553491,-0.027393
0,0.553491,-0.027393
0,0.553491,-0.027393
0,0.554297,-0.026587
0,0.554297,-0.026587
0,0.554297,-0.026587
0,0.555103,-0.025781
0,0.555103,-0.025781
0,0.555103,-0.025781
0,0.555103,-0.025781
0.05,0.555103,-0.025781
0,0.555103,-0.025781
0,0.555103,-0.025781
0,0.555103,-0.025781
0,0.555103,-0.025781
0,0.555103,-0.025781
0,0.555908,-0.024976
0,0.555908,-0.024976
0,0.555908,-0.024976
0,0.555908,-0.024976
0,0.555908,-0.024976
0,0.555908,-0.024976
0,0.555908,-0.024976
0,0.556714,-0.02417
0,0.556714,-0.02417
0,0.556714,-0.02417
0,0.556714,-0.02417
0,0.556714,-0.02417
0,0.556714,-0.02417
0,0.556714,-0.02417
